"","city","state","year","population","total_expenditures","X","latitude","longitude"
"1","Charleston ","SC",1930,84000,19593.65,NA,32.7884363,-79.9399309
"2","Columbia","SC",1930,65000,18000,NA,34.0003117,-81.0331309
"3","Florence","SC",1930,17000,6100,NA,34.1984435,-79.7671658
"4","Greenville ","SC",1930,35000,5315,NA,34.851354,-82.3984882
"5","Orangeburg","SC",1930,10000,3206.57,NA,33.4918203,-80.8556476
"6","Spartanburg","SC",1930,35000,10313.14,NA,34.9498007,-81.9320157
"7","Sumter","SC",1930,15000,2400,NA,33.9204354,-80.3414693
"8","Union","SC",1930,15000,930,NA,34.7151939,-81.6237462
"9","Canton","SD",1930,2091,850,NA,43.3009156,-96.5926411
"10","Dell Rapids","SD",1930,1800,0,NA,43.823403,-96.7118751
"11","Huron","SD",1930,13000,600,NA,44.36308,-98.214388
"12","Mitchell","SD",1930,12000,7000,NA,43.70953,-98.025379
"13","Mobridge","SD",1930,4500,270,NA,45.537216,-100.427913
"14","Pierre","SD",1930,4000,3000,NA,44.3683644,-100.351136
"15","Rapid City","SD",1930,11500,248,NA,44.0806041,-103.228023
"16","Sioux Falls","SD",1930,38000,9181.08,NA,43.5476008,-96.7293629
"17","Watertown","SD",1930,11000,3710.75,NA,44.899211,-97.115289
"18","Yankton","SD",1930,5500,0,NA,42.8712938,-97.3967011
"19","Chattanooga","TN",1930,141000,23381.23,NA,35.0457219,-85.3094883
"20","Barrington","RI",1930,4000,2352.71,NA,41.7407661,-71.3084633
"21","Bristol","RI",1930,14000,2600,NA,41.6770463,-71.2661597
"22","Central Falls","RI",1930,25000,25954.68,NA,41.8873726,-71.3876472
"23","East Providence","RI",1930,35000,4862.07,NA,41.8194081,-71.376257
"24","Newport","RI",1930,30000,14579.77,NA,41.4899827,-71.3137707
"25","Pawtucket","RI",1930,73000,13215.75,NA,41.8789531,-71.3821203
"26","Providence","RI",1930,278000,154128.09,NA,41.8239891,-71.4128343
"27","Saylesville","RI",1930,1350,548.13,NA,41.8987106,-71.4131127
"28","Weserly ","RI",1930,11177,829,NA,NA,NA
"29","Woonsocket","RI",1930,50000,18350,NA,42.0028761,-71.5147839
"30","Pheonixville","PA",1930,11000,7000,NA,NA,NA
"31","Pittsburgh","PA",1930,650000,721136.48,NA,40.4416941,-79.9900861
"32","Pittsburgh, North Side","PA",1930,205000,38950.92,NA,NA,NA
"33","Pottstown","PA",1930,20000,315,NA,40.2452976,-75.6496424
"34","Pottsville","PA",1930,25000,367.43,NA,40.6851324,-76.1953701
"35","Punxsutawney","PA",1930,10315,20988.77,NA,40.9436303,-78.971078
"36","Reading","PA",1930,120000,29300.8,NA,40.335345,-75.9279495
"37","Red Lion","PA",1930,4500,300,NA,39.9009334,-76.6058001
"38","Renovo","PA",1930,5000,187.5,NA,41.3264557,-77.7508202
"39","Rochester","PA",1930,10000,750,NA,40.7022913,-80.2860955
"40","St. Marys","PA",1930,8000,1670.32,NA,41.4280432,-78.5611275
"41","Schuylkill Haven","PA",1930,6000,288.9,NA,40.6306464,-76.171054
"42","Scranton","PA",1930,140000,63249.92,NA,41.4086874,-75.6621294
"43","Souderton","PA",1930,3900,1150,NA,40.3117707,-75.3251759
"44","Steelton","PA",1930,14000,1688.98,NA,40.2353679,-76.8413613
"45","Sunbury","PA",1930,18000,5027.87,NA,40.8619754,-76.7936252
"46","Swissvalue","PA",1930,10000,809.27,NA,NA,NA
"47","Tamaqua","PA",1930,16000,1200,NA,40.7974296,-75.9696186
"48","Vandergrift","PA",1930,15000,600,NA,40.6028462,-79.5647741
"49","Warren","PA",1930,15000,1780.72,NA,41.8438079,-79.1449601
"50","Washington","PA",1930,30000,2975,NA,40.17396,-80.2461714
"51","West Chester","PA",1930,13000,4132.68,NA,39.9597213,-75.6059638
"52","Wilkes Barre and Wyoming Valley","PA",1930,255000,59000,NA,NA,NA
"53","Williamsport","PA",1930,50000,4191.59,NA,41.2493292,-77.0027671
"54","Wilmerding","PA",1930,8000,1946.98,NA,40.3909023,-79.8100473
"55","York","PA",1930,65000,9396.1,NA,39.9624588,-76.7277218
"56","Youngsville","PA",1930,2000,55,NA,41.8522809,-79.3186597
"57","Knoxville","TN",1930,148000,38400,NA,35.9603948,-83.9210261
"58","Memphis","TN",1930,250000,164325,NA,35.1460249,-90.0517638
"59","Nashville","TN",1930,175000,78896.94,NA,36.1622767,-86.7742984
"60","Amarillo","TX",1930,45000,2000,NA,35.2072185,-101.833824
"61","Austin","TX",1930,65000,288457.71,5,30.2711286,-97.7436995
"62","Beaumont","TX",1930,70000,15224.58,NA,30.0860459,-94.1018461
"63","Cleburne","TX",1930,20000,0,NA,32.3474463,-97.3865494
"64","Dallas","TX",1930,308000,191413.36,NA,32.7762719,-96.7968559
"65","El Paso","TX",1930,112000,0,NA,31.7550511,-106.488234
"66","Ft. Worth","TX",1930,200000,97564.44,NA,32.753177,-97.3327459
"67","Galveston","TX",1930,60000,27708.92,NA,29.3056996,-94.7933252
"68","Houston","TX",1930,275000,53877.97,12,29.7589382,-95.3676974
"69","Laredo","TX",1930,40000,2400,13,27.5056251,-99.5074517
"70","Lubbock","TX",1930,23200,12500,NA,33.5855677,-101.8470215
"71","Panhandle","TX",1930,3500,220,NA,35.3454847,-101.3804082
"72","Paris","TX",1930,18540,0,NA,33.6617962,-95.555513
"73","Plainview","TX",1930,10400,2250,NA,34.1847936,-101.706841
"74","Port Arthur","TX",1930,53000,500,18,29.8716577,-93.9332302
